TENURE,MONTANT,FREQUENCE_RECH,REVENUE,ARPU_SEGMENT,FREQUENCE,DATA_VOLUME,ON_NET,ORANGE,MRG,REGULARITY,CHURN
K > 24 month,19500.0,7.0,18492.0,6164.0,17.0,3730.0,801.0,329.0,NO,48,1
K > 24 month,5000.0,8.0,4992.0,1664.0,7.0,0.0,99.0,24.0,NO,25,1
K > 24 month,750.0,4.0,967.0,322.0,9.0,938.0,19.0,6.0,NO,18,1
K > 24 month,6600.0,11.0,6601.0,2200.0,18.0,5156.0,1.0,26.0,NO,14,1
K > 24 month,3000.0,4.0,2981.0,994.0,6.0,4625.0,5.0,31.0,NO,13,1
K > 24 month,3300.0,15.0,3587.0,1196.0,18.0,1.0,18.0,4.0,NO,12,1
K > 24 month,250.0,1.0,250.0,83.0,1.0,0.0,7.0,1.0,NO,4,1
K > 24 month,500.0,1.0,699.0,233.0,2.0,0.0,6.0,25.0,NO,6,1
K > 24 month,1100.0,6.0,700.0,233.0,7.0,0.0,9.0,3.0,NO,18,1
K > 24 month,2800.0,6.0,2795.0,932.0,13.0,0.0,32.0,21.0,NO,33,1
K > 24 month,1000.0,1.0,700.0,233.0,1.0,2.0,12.0,18.0,NO,30,1
K > 24 month,500.0,3.0,408.0,136.0,3.0,1379.0,1.0,1.0,NO,10,1
K > 24 month,1500.0,3.0,1493.0,498.0,3.0,3.0,1.0,2.0,NO,20,1
J 21-24 month,13750.0,20.0,13572.0,4524.0,22.0,37449.0,70.0,81.0,NO,38,1
K > 24 month,2700.0,12.0,2692.0,897.0,14.0,2196.0,14.0,1.0,NO,8,1
K > 24 month,1500.0,2.0,1501.0,500.0,4.0,1237.0,51.0,51.0,NO,1,1
K > 24 month,5500.0,6.0,5493.0,1831.0,7.0,0.0,144.0,127.0,NO,24,1
K > 24 month,10200.0,15.0,11200.0,3733.0,20.0,32184.0,63.0,23.0,NO,46,1
K > 24 month,5100.0,13.0,5299.0,1766.0,21.0,10097.0,4.0,37.0,NO,55,1
K > 24 month,17500.0,8.0,17498.0,5833.0,26.0,3373.0,13.0,53.0,NO,1,1
K > 24 month,1000.0,1.0,981.0,327.0,2.0,0.0,1.0,5.0,NO,6,1
K > 24 month,2100.0,7.0,2600.0,867.0,9.0,1288.0,0.0,15.0,NO,23,1
K > 24 month,1200.0,7.0,1201.0,400.0,8.0,0.0,10.0,4.0,NO,38,1
K > 24 month,2500.0,5.0,2500.0,833.0,5.0,84.0,4.0,58.0,NO,7,1
K > 24 month,4500.0,6.0,4485.0,1495.0,6.0,2310.0,39.0,46.0,NO,35,1
H 15-18 month,1500.0,2.0,2001.0,667.0,1.0,0.0,2896.0,2.0,NO,23,1
K > 24 month,27100.0,41.0,27518.0,9173.0,44.0,6611.0,7732.0,43.0,NO,39,1
K > 24 month,2600.0,3.0,2588.0,863.0,3.0,927.0,2.0,21.0,NO,18,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,15.0,NO,7,1
K > 24 month,1500.0,3.0,1490.0,497.0,4.0,1267.0,0.0,0.0,NO,29,1
K > 24 month,5950.0,18.0,5824.0,1941.0,18.0,5393.0,1.0,7.0,NO,33,1
K > 24 month,2600.0,24.0,2844.0,948.0,27.0,2957.0,0.0,0.0,NO,24,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,1.0,10.0,13.0,NO,15,1
K > 24 month,15000.0,23.0,15000.0,5000.0,24.0,29335.0,7.0,148.0,NO,49,1
K > 24 month,1000.0,1.0,999.0,333.0,4.0,29.0,1.0,5.0,NO,10,1
K > 24 month,1650.0,4.0,1650.0,550.0,6.0,82.0,1.0,10.0,NO,15,1
K > 24 month,4550.0,13.0,4009.0,1336.0,12.0,1247.0,12.0,50.0,NO,28,1
K > 24 month,500.0,1.0,500.0,167.0,2.0,0.0,0.0,4.0,NO,5,1
K > 24 month,200.0,2.0,297.0,99.0,3.0,0.0,1.0,0.0,NO,3,1
K > 24 month,4000.0,4.0,4000.0,1333.0,6.0,0.0,8.0,74.0,NO,6,1
K > 24 month,500.0,1.0,486.0,162.0,2.0,1026.0,9.0,1.0,NO,23,1
K > 24 month,2200.0,4.0,2175.0,725.0,7.0,2502.0,6.0,15.0,NO,4,1
K > 24 month,650.0,2.0,831.0,277.0,4.0,75.0,8.0,2.0,NO,16,1
K > 24 month,1700.0,5.0,1700.0,567.0,7.0,0.0,159.0,33.0,NO,30,1
F 9-12 month,1000.0,1.0,1365.0,455.0,5.0,9675.0,441.0,318.0,NO,56,1
K > 24 month,16500.0,25.0,16884.0,5628.0,31.0,28179.0,4.0,54.0,NO,37,1
K > 24 month,1200.0,12.0,1300.0,433.0,13.0,460.0,2.0,4.0,NO,16,1
K > 24 month,500.0,1.0,511.0,170.0,3.0,734.0,7.0,2.0,NO,3,1
K > 24 month,500.0,1.0,318.0,106.0,1.0,249.0,0.0,0.0,NO,3,1
K > 24 month,200.0,1.0,200.0,67.0,1.0,41.0,6.0,1.0,NO,32,1
K > 24 month,600.0,3.0,592.0,197.0,4.0,0.0,7.0,1.0,NO,22,1
K > 24 month,500.0,1.0,501.0,167.0,4.0,1.0,1.0,3.0,NO,20,1
K > 24 month,3600.0,13.0,4700.0,1567.0,18.0,509.0,9.0,40.0,NO,18,1
K > 24 month,1000.0,1.0,995.0,332.0,2.0,1517.0,12.0,21.0,NO,16,1
K > 24 month,5000.0,9.0,5009.0,1670.0,11.0,0.0,40.0,118.0,NO,44,1
K > 24 month,500.0,1.0,1496.0,499.0,2.0,3365.0,49.0,43.0,NO,24,1
K > 24 month,4000.0,7.0,3700.0,1233.0,14.0,2444.0,31.0,42.0,NO,11,1
K > 24 month,3500.0,5.0,3199.0,1066.0,8.0,1056.0,8.0,8.0,NO,5,1
K > 24 month,2500.0,2.0,2150.0,717.0,2.0,5585.0,1.0,0.0,NO,2,1
K > 24 month,2000.0,4.0,1987.0,662.0,4.0,4113.0,27.0,0.0,NO,9,1
K > 24 month,700.0,2.0,694.0,231.0,3.0,211.0,2.0,1.0,NO,12,1
K > 24 month,4000.0,6.0,5000.0,1667.0,11.0,1.0,799.0,9.0,NO,42,1
K > 24 month,900.0,4.0,1000.0,333.0,7.0,0.0,14.0,13.0,NO,13,1
K > 24 month,600.0,3.0,601.0,200.0,8.0,0.0,2.0,1.0,NO,13,1
K > 24 month,4400.0,15.0,4791.0,1597.0,17.0,0.0,96.0,4.0,NO,36,1
K > 24 month,7850.0,12.0,8972.0,2991.0,16.0,125.0,77.0,133.0,NO,31,1
K > 24 month,7700.0,16.0,8560.0,2853.0,21.0,5996.0,112.0,71.0,NO,30,1
K > 24 month,2800.0,11.0,2900.0,967.0,15.0,0.0,120.0,34.0,NO,13,1
K > 24 month,600.0,2.0,596.0,199.0,2.0,7.0,2.0,2.0,NO,4,1
K > 24 month,400.0,2.0,388.0,129.0,2.0,0.0,0.0,3.0,NO,7,1
K > 24 month,700.0,2.0,691.0,230.0,2.0,0.0,9.0,3.0,NO,3,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,697.0,4.0,17.0,NO,20,1
K > 24 month,2700.0,11.0,2691.0,897.0,14.0,1888.0,3.0,8.0,NO,12,1
K > 24 month,1700.0,4.0,3191.0,1064.0,7.0,6127.0,3.0,17.0,NO,19,1
K > 24 month,2150.0,3.0,2149.0,716.0,6.0,1815.0,1.0,11.0,NO,11,1
K > 24 month,7350.0,13.0,7329.0,2443.0,18.0,10197.0,2.0,47.0,NO,32,1
K > 24 month,7000.0,11.0,8493.0,2831.0,19.0,3493.0,46.0,35.0,NO,25,1
K > 24 month,1250.0,4.0,1242.0,414.0,6.0,508.0,6.0,3.0,NO,29,1
K > 24 month,4000.0,5.0,3501.0,1167.0,6.0,0.0,76.0,41.0,NO,16,1
K > 24 month,750.0,2.0,745.0,248.0,3.0,20.0,0.0,2.0,NO,16,1
K > 24 month,3000.0,4.0,2990.0,997.0,5.0,936.0,24.0,8.0,NO,1,1
K > 24 month,3100.0,11.0,2991.0,997.0,12.0,0.0,1216.0,76.0,NO,17,1
K > 24 month,200.0,1.0,398.0,133.0,4.0,5.0,20.0,0.0,NO,12,1
K > 24 month,2600.0,13.0,2701.0,900.0,15.0,1403.0,1.0,7.0,NO,47,1
K > 24 month,3500.0,7.0,4000.0,1333.0,8.0,0.0,188.0,16.0,NO,9,1
K > 24 month,4500.0,3.0,4498.0,1499.0,4.0,27.0,4.0,34.0,NO,6,1
K > 24 month,6100.0,20.0,7299.0,2433.0,23.0,1666.0,90.0,118.0,NO,27,1
K > 24 month,3000.0,6.0,2991.0,997.0,6.0,414.0,6.0,12.0,NO,22,1
K > 24 month,1200.0,3.0,1200.0,400.0,6.0,1938.0,5.0,3.0,NO,4,1
K > 24 month,1750.0,7.0,1725.0,575.0,9.0,909.0,0.0,1.0,NO,3,1
K > 24 month,1300.0,3.0,1282.0,427.0,4.0,1038.0,24.0,2.0,NO,21,1
K > 24 month,2200.0,12.0,2298.0,766.0,14.0,1508.0,222.0,15.0,NO,10,1
K > 24 month,5000.0,10.0,5000.0,1667.0,17.0,5808.0,1.0,18.0,NO,25,1
K > 24 month,2500.0,2.0,1225.0,408.0,9.0,3.0,4.0,77.0,NO,37,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,20.0,22.0,NO,8,1
K > 24 month,3700.0,7.0,3700.0,1233.0,12.0,45.0,112.0,13.0,NO,30,1
K > 24 month,500.0,1.0,487.0,162.0,3.0,0.0,27.0,3.0,NO,8,1
K > 24 month,1100.0,6.0,1100.0,367.0,7.0,1411.0,4.0,0.0,NO,1,1
K > 24 month,8400.0,5.0,10419.0,3473.0,6.0,814.0,473.0,331.0,NO,37,1
K > 24 month,500.0,1.0,1000.0,333.0,2.0,2.0,478.0,6.0,NO,9,1
K > 24 month,2000.0,2.0,1997.0,666.0,3.0,3070.0,7.0,1.0,NO,11,1
K > 24 month,2000.0,3.0,2000.0,667.0,7.0,971.0,25.0,5.0,NO,31,1
K > 24 month,1250.0,5.0,1250.0,417.0,6.0,250.0,539.0,1.0,NO,14,1
K > 24 month,1500.0,2.0,1498.0,499.0,3.0,3072.0,0.0,1.0,NO,15,1
K > 24 month,4750.0,25.0,5143.0,1714.0,33.0,474.0,1247.0,72.0,NO,50,1
K > 24 month,10000.0,17.0,10000.0,3333.0,20.0,146.0,4946.0,64.0,NO,53,1
K > 24 month,450.0,2.0,948.0,316.0,5.0,0.0,1.0,1.0,NO,14,1
K > 24 month,750.0,2.0,750.0,250.0,2.0,0.0,73.0,4.0,NO,16,1
K > 24 month,2300.0,7.0,2286.0,762.0,11.0,1875.0,133.0,13.0,NO,31,1
K > 24 month,3500.0,6.0,4500.0,1500.0,8.0,459.0,1.0,24.0,NO,12,1
K > 24 month,1050.0,2.0,1049.0,350.0,2.0,0.0,43.0,30.0,NO,21,1
K > 24 month,1000.0,1.0,1011.0,337.0,3.0,31.0,5.0,10.0,NO,7,1
K > 24 month,8150.0,28.0,7149.0,2383.0,37.0,3821.0,29.0,29.0,NO,59,1
K > 24 month,4700.0,4.0,4638.0,1546.0,4.0,9637.0,32.0,14.0,NO,33,1
K > 24 month,1600.0,4.0,1601.0,534.0,8.0,0.0,5.0,10.0,NO,23,1
K > 24 month,63000.0,56.0,67169.0,22390.0,55.0,32371.0,387.0,64.0,NO,45,1
K > 24 month,725.0,5.0,675.0,225.0,5.0,200.0,1.0,0.0,NO,20,1
K > 24 month,4000.0,8.0,3490.0,1163.0,7.0,12041.0,0.0,5.0,NO,32,1
K > 24 month,1500.0,3.0,1500.0,500.0,3.0,5.0,4.0,36.0,NO,27,1
K > 24 month,1700.0,4.0,2200.0,733.0,5.0,3091.0,156.0,166.0,NO,28,1
K > 24 month,4000.0,15.0,4249.0,1416.0,16.0,0.0,507.0,71.0,NO,41,1
K > 24 month,7900.0,32.0,7899.0,2633.0,37.0,641.0,83.0,77.0,NO,56,1
K > 24 month,1000.0,1.0,997.0,332.0,2.0,1351.0,31.0,2.0,NO,13,1
K > 24 month,1000.0,2.0,1010.0,337.0,2.0,101.0,28.0,0.0,NO,1,1
K > 24 month,4700.0,9.0,4694.0,1565.0,12.0,8742.0,1.0,16.0,NO,20,1
K > 24 month,3000.0,6.0,3504.0,1168.0,9.0,0.0,116.0,140.0,NO,15,1
K > 24 month,2550.0,7.0,2542.0,847.0,7.0,3521.0,7.0,2.0,NO,3,1
K > 24 month,1250.0,3.0,1259.0,420.0,8.0,10.0,1.0,23.0,NO,4,1
K > 24 month,2850.0,11.0,2849.0,950.0,12.0,0.0,478.0,97.0,NO,18,1
K > 24 month,4050.0,21.0,4051.0,1350.0,23.0,723.0,59.0,21.0,NO,58,1
K > 24 month,2000.0,3.0,1994.0,665.0,4.0,1037.0,5.0,15.0,NO,10,1
K > 24 month,6000.0,9.0,5417.0,1806.0,13.0,7624.0,7.0,58.0,NO,35,1
H 15-18 month,5750.0,19.0,5750.0,1917.0,21.0,8052.0,53.0,0.0,NO,22,1
K > 24 month,2500.0,5.0,2499.0,833.0,6.0,334.0,37.0,13.0,NO,36,1
K > 24 month,1000.0,1.0,1981.0,660.0,2.0,1763.0,41.0,4.0,NO,19,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,1.0,0.0,NO,6,1
K > 24 month,3800.0,14.0,3788.0,1263.0,14.0,8754.0,120.0,1.0,NO,41,1
K > 24 month,9000.0,30.0,9500.0,3167.0,35.0,71.0,2007.0,87.0,NO,41,1
K > 24 month,1800.0,4.0,1790.0,597.0,4.0,1750.0,7.0,1.0,NO,12,1
K > 24 month,900.0,3.0,900.0,300.0,4.0,49.0,34.0,29.0,NO,17,1
K > 24 month,1700.0,4.0,1711.0,570.0,6.0,3265.0,25.0,9.0,NO,2,1
K > 24 month,13000.0,15.0,13490.0,4497.0,19.0,10150.0,65.0,204.0,NO,62,1
K > 24 month,11550.0,21.0,12049.0,4016.0,29.0,6109.0,3.0,18.0,NO,20,1
K > 24 month,50.0,1.0,51.0,17.0,3.0,0.0,0.0,0.0,NO,7,1
K > 24 month,200.0,1.0,184.0,61.0,1.0,185.0,3.0,1.0,NO,10,1
K > 24 month,1500.0,5.0,1499.0,500.0,5.0,1039.0,97.0,29.0,NO,8,1
K > 24 month,1000.0,2.0,1011.0,337.0,8.0,0.0,0.0,14.0,NO,6,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,22.0,15.0,14.0,NO,6,1
K > 24 month,1400.0,3.0,1381.0,460.0,3.0,1319.0,7.0,8.0,NO,16,1
K > 24 month,1000.0,2.0,1000.0,333.0,2.0,0.0,34.0,39.0,NO,23,1
K > 24 month,2000.0,4.0,1988.0,663.0,5.0,1182.0,9.0,7.0,NO,5,1
K > 24 month,3700.0,10.0,3947.0,1316.0,13.0,3092.0,1.0,2.0,NO,15,1
K > 24 month,100.0,1.0,81.0,27.0,2.0,2438.0,7.0,0.0,NO,10,1
K > 24 month,5000.0,10.0,5559.0,1853.0,14.0,7762.0,0.0,3.0,NO,57,1
K > 24 month,4500.0,9.0,4500.0,1500.0,9.0,0.0,129.0,97.0,NO,53,1
K > 24 month,1500.0,3.0,2000.0,667.0,4.0,0.0,690.0,15.0,NO,19,1
K > 24 month,1600.0,2.0,1598.0,533.0,2.0,773.0,8.0,28.0,NO,7,1
K > 24 month,3200.0,7.0,3461.0,1154.0,8.0,87.0,39.0,54.0,NO,29,1
I 18-21 month,2850.0,15.0,2921.0,974.0,18.0,142.0,36.0,51.0,NO,5,1
K > 24 month,11600.0,23.0,11601.0,3867.0,24.0,6691.0,5747.0,43.0,NO,61,1
K > 24 month,10050.0,13.0,12542.0,4181.0,22.0,18155.0,8.0,65.0,NO,9,1
K > 24 month,700.0,4.0,641.0,214.0,6.0,11.0,6.0,17.0,NO,16,1
K > 24 month,700.0,5.0,700.0,233.0,5.0,1306.0,43.0,0.0,NO,7,1
K > 24 month,400.0,2.0,281.0,94.0,2.0,0.0,1.0,0.0,NO,2,1
K > 24 month,2000.0,4.0,3000.0,1000.0,6.0,0.0,18.0,45.0,NO,28,1
K > 24 month,1200.0,5.0,1180.0,393.0,5.0,0.0,316.0,7.0,NO,13,1
K > 24 month,100.0,1.0,99.0,33.0,1.0,1.0,2.0,1.0,NO,5,1
K > 24 month,8600.0,19.0,9100.0,3033.0,21.0,8470.0,224.0,102.0,NO,7,1
K > 24 month,1000.0,2.0,999.0,333.0,4.0,1023.0,4.0,29.0,NO,2,1
K > 24 month,3000.0,6.0,3500.0,1167.0,22.0,1879.0,0.0,5.0,NO,35,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,3.0,0.0,4.0,NO,5,1
K > 24 month,5000.0,10.0,5021.0,1674.0,19.0,11552.0,0.0,22.0,NO,28,1
K > 24 month,3500.0,6.0,3393.0,1131.0,10.0,0.0,0.0,45.0,NO,35,1
K > 24 month,5400.0,30.0,5609.0,1870.0,39.0,6217.0,3.0,1.0,NO,58,1
K > 24 month,3000.0,6.0,3000.0,1000.0,10.0,8.0,100.0,37.0,NO,31,1
K > 24 month,3900.0,6.0,3900.0,1300.0,9.0,1864.0,0.0,14.0,NO,42,1
K > 24 month,8500.0,8.0,8492.0,2831.0,18.0,7313.0,63.0,188.0,NO,39,1
K > 24 month,300.0,2.0,283.0,94.0,2.0,3.0,8.0,1.0,NO,7,1
J 21-24 month,500.0,1.0,500.0,167.0,1.0,1048.0,0.0,4.0,NO,30,1
K > 24 month,3250.0,13.0,3249.0,1083.0,18.0,17.0,4.0,63.0,NO,29,1
K > 24 month,6000.0,1.0,5994.0,1998.0,3.0,301.0,3.0,22.0,NO,1,1
K > 24 month,2600.0,5.0,2594.0,865.0,6.0,0.0,8.0,121.0,NO,8,1
K > 24 month,700.0,2.0,700.0,233.0,3.0,49.0,21.0,16.0,NO,8,1
K > 24 month,2500.0,5.0,2500.0,833.0,5.0,0.0,123.0,4.0,NO,23,1
K > 24 month,2500.0,5.0,2499.0,833.0,10.0,360.0,38.0,70.0,NO,19,1
K > 24 month,3300.0,10.0,3164.0,1055.0,13.0,406.0,24.0,47.0,NO,11,1
K > 24 month,26200.0,45.0,26887.0,8962.0,50.0,1.0,285.0,456.0,NO,44,1
H 15-18 month,300.0,1.0,698.0,233.0,4.0,57.0,8.0,8.0,NO,15,1
K > 24 month,2000.0,1.0,1998.0,666.0,9.0,0.0,1.0,15.0,NO,11,1
K > 24 month,4600.0,7.0,4321.0,1440.0,14.0,4956.0,0.0,0.0,NO,44,1
K > 24 month,2200.0,8.0,2197.0,732.0,9.0,531.0,5.0,62.0,NO,23,1
K > 24 month,2000.0,6.0,2792.0,931.0,8.0,324.0,25.0,31.0,NO,10,1
K > 24 month,18150.0,58.0,18949.0,6316.0,65.0,13115.0,2119.0,502.0,NO,56,1
K > 24 month,2600.0,12.0,2583.0,861.0,13.0,2555.0,2.0,3.0,NO,28,1
K > 24 month,6000.0,5.0,5999.0,2000.0,3.0,21.0,2.0,3.0,NO,7,1
K > 24 month,4950.0,13.0,5051.0,1684.0,22.0,0.0,3.0,24.0,NO,15,1
K > 24 month,106900.0,47.0,108216.0,36072.0,43.0,472.0,78.0,50.0,NO,19,1
K > 24 month,6000.0,10.0,6500.0,2167.0,10.0,372.0,25.0,118.0,NO,2,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,0.0,2.0,11.0,NO,1,1
K > 24 month,4000.0,11.0,3747.0,1249.0,13.0,588.0,135.0,59.0,NO,23,1
E 6-9 month,3800.0,10.0,4488.0,1496.0,14.0,8030.0,10.0,3.0,NO,25,1
K > 24 month,15950.0,44.0,16249.0,5416.0,60.0,78996.0,2089.0,160.0,NO,60,1
K > 24 month,3700.0,9.0,3705.0,1235.0,9.0,0.0,0.0,432.0,NO,17,1
K > 24 month,4600.0,7.0,4596.0,1532.0,9.0,9002.0,6.0,0.0,NO,32,1
K > 24 month,4300.0,10.0,4290.0,1430.0,14.0,10963.0,2.0,27.0,NO,44,1
K > 24 month,500.0,1.0,500.0,167.0,1.0,4.0,0.0,5.0,NO,5,1
K > 24 month,7600.0,15.0,7610.0,2537.0,16.0,0.0,5803.0,8.0,NO,48,1
K > 24 month,1000.0,1.0,1004.0,335.0,4.0,0.0,0.0,19.0,NO,4,1
K > 24 month,5000.0,10.0,5000.0,1667.0,10.0,24.0,36.0,86.0,NO,31,1
K > 24 month,1500.0,2.0,1490.0,497.0,2.0,2045.0,10.0,16.0,NO,14,1
K > 24 month,3900.0,15.0,3901.0,1300.0,18.0,652.0,3.0,50.0,NO,31,1
K > 24 month,1500.0,2.0,1498.0,499.0,3.0,2057.0,20.0,12.0,NO,18,1
K > 24 month,3000.0,4.0,2989.0,996.0,5.0,6513.0,27.0,8.0,NO,22,1
K > 24 month,12300.0,23.0,12815.0,4272.0,24.0,10094.0,2347.0,55.0,NO,35,1
K > 24 month,16000.0,4.0,4080.0,1360.0,8.0,0.0,31.0,86.0,NO,19,1
K > 24 month,500.0,1.0,503.0,168.0,2.0,373.0,2.0,1.0,NO,13,1
K > 24 month,1700.0,7.0,1700.0,567.0,7.0,1737.0,92.0,35.0,NO,14,1
K > 24 month,500.0,1.0,496.0,165.0,2.0,0.0,8.0,4.0,NO,10,1
K > 24 month,500.0,1.0,491.0,164.0,1.0,11.0,0.0,4.0,NO,4,1
K > 24 month,3500.0,3.0,3198.0,1066.0,4.0,650.0,0.0,8.0,NO,22,1
K > 24 month,100.0,1.0,82.0,27.0,1.0,948.0,0.0,1.0,NO,9,1
K > 24 month,4500.0,9.0,4512.0,1504.0,15.0,9868.0,0.0,6.0,NO,34,1
K > 24 month,1500.0,3.0,1700.0,567.0,5.0,49.0,0.0,31.0,NO,3,1
K > 24 month,2300.0,6.0,2277.0,759.0,7.0,100.0,1.0,34.0,NO,21,1
K > 24 month,1200.0,5.0,1200.0,400.0,5.0,130.0,29.0,47.0,NO,15,1
K > 24 month,2800.0,6.0,2799.0,933.0,7.0,2460.0,77.0,70.0,NO,22,1
K > 24 month,500.0,1.0,908.0,303.0,7.0,863.0,3.0,4.0,NO,10,1
